ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,family_id,parent_id,bookkeeping,level,status,description,markup_description,child_family_count,child_language_count,child_dialect_count,country_ids
fore1274,Forest Nenets,Eurasia,63.72,71.97,fore1274,,ural1272,nene1251,False,language,definitely endangered,,,0,0,4,RU
friu1240,Friulian,Eurasia,46.1473,13.0493,friu1240,fur,indo1319,gall1280,False,language,vulnerable,,,0,0,3,AT IT
fuli1240,Fuliiru,Africa,-3.04022,28.9865,fuli1240,flr,atla1278,fuli1242,False,language,safe,,,0,0,0,BI CD
furu1242,Furu,Africa,4.485,20.6448,furu1242,fuu,cent2225,barh1234,False,language,safe,,,0,0,0,CD CF
gadd1244,Gaddang,Papunesia,16.5468,121.177,gadd1244,gad,aust1307,caga1242,False,language,safe,,,0,0,0,PH
galo1242,Galo,Eurasia,27.9805586,94.6884956,galo1242,adl,sino1245,suba1255,False,language,vulnerable,,,0,0,0,IN
galo1243,Galoli-Talur,Papunesia,-8.61074,125.959,galo1243,gal,aust1307,nort3194,False,language,vulnerable,,,0,0,10,ID TL
gant1244,Gants,Papunesia,-5.28113,144.771,gant1244,gao,nucl1709,east2767,False,language,safe,,,0,0,0,PG
garo1247,Garo,Eurasia,25.2954,90.462,garo1247,grt,sino1245,bodo1279,False,language,vulnerable,,,0,0,10,BD IN
gayo1244,Gayo,Papunesia,4.3733,97.3456,gayo1244,gay,aust1307,nort2829,False,language,vulnerable,,,0,0,4,ID
gran1245,Grangali,Eurasia,34.6485,70.7323,gran1245,nli,indo1319,gawa1246,False,language,definitely endangered,,,0,0,3,AF
gras1249,Grass Koiari,Papunesia,-9.51218,147.437,gras1249,kbk,koia1260,koit1243,False,language,definitely endangered,,,0,0,3,PG
guer1243,Guerrero Amuzgo,North America,16.77226,-98.18953,guer1243,amu,otom1299,amuz1254,False,language,vulnerable,,,0,0,0,MX
gugu1254,Gugubera,Australia,-15.4296,141.635,gugu1254,kkp,pama1250,dhaw1234,False,language,severely endangered,,,0,0,0,AU
guja1253,Gujari,Eurasia,34.3768,73.1461,guja1253,gju,indo1319,mewa1254,False,language,safe,,,0,0,3,AF IN PK
gunw1252,Bininj Kun-Wok,Australia,-12.3398,133.358,gunw1252,gup,gunw1250,cent2231,False,language,definitely endangered,,,0,0,8,AU
gupa1247,Gupapuyngu,Australia,-12.2868,135.337,gupa1247,guf,pama1250,east2378,False,language,definitely endangered,,,0,0,6,AU
gura1251,Gurani,Eurasia,36.8377,44.4956,gura1251,hac,indo1319,gora1267,False,language,vulnerable,,,0,0,6,IQ IR
halb1244,Halbi,Eurasia,20.3081,81.3742,halb1244,hlb,indo1319,halb1246,False,language,safe,,,0,0,9,IN
halh1238,Halh Mongolian,Eurasia,48.324,106.289,halh1238,khk,mong1329,mong1331,False,language,definitely endangered,,,0,0,5,MN RU
halk1245,Halkomelem,North America,48.0751,-122.029,halk1245,hur,sali1255,cent2129,False,language,definitely endangered,,,0,0,4,CA US
hamt1247,Hamtai,Papunesia,-7.54975,146.227,hamt1247,hmt,anga1289,kapa1251,False,language,safe,,,0,0,5,PG
haus1257,Hausa,Africa,11.1513,8.7804,haus1257,hau,afro1255,west2718,False,language,safe,,,0,0,19,BF BJ CM NE NG TD
hebr1245,Modern Hebrew,Eurasia,31.1056,35.0179,hebr1245,heb,afro1255,hebr1246,False,language,safe,,,0,0,2,IL JO LB PS SY
heib1243,Ebang,Africa,11.2908,30.5282,heib1243,hbn,heib1242,eban1242,False,language,vulnerable,,,0,0,0,SD
helo1243,Helong,Papunesia,-10.2647,123.377,helo1243,heg,aust1307,west2545,False,language,vulnerable,,,0,0,3,ID
hert1241,Hertevin,Eurasia,37.373,42.5192,hert1241,hrt,afro1255,boht1239,False,language,severely endangered,,,0,0,3,TR
high1276,Highland Popoluca,North America,18.198,-94.9109,high1276,poi,mixe1284,gulf1238,False,language,vulnerable,,,0,0,0,MX
